Time(ms),Sensor,AQI,TVOC,ECO2,Rs0,Rs1,Rs2,Rs3,Temp(C),Humidity(%)
19369944,0,1,3,400,163435,1,296914,67654,43.31,23.17
19369945,1,1,1,400,200098,1,440722,64698,43.31,23.17
19369947,2,1,13,400,176546,1,481914,70721,43.31,23.17
19369948,3,1,4,400,241856,1,508730,73280,43.31,23.17
19369950,4,1,22,400,196940,1,477854,63376,43.31,23.17
19372968,0,1,3,400,164823,1,297517,67700,43.35,23.17
19372969,1,1,13,400,198547,1,438490,62927,43.35,23.17
19372971,2,1,11,400,175296,1,474630,71201,43.35,23.17
19372972,3,1,20,400,239250,1,495644,70506,43.35,23.17
19372974,4,1,13,400,199557,1,473026,64698,43.35,23.17
19375990,0,1,1,400,164322,1,294512,67998,43.37,23.14
19375991,1,1,5,400,198614,1,446125,64153,43.37,23.14
19375993,2,1,0,400,174999,1,473667,74052,43.37,23.14
19375994,3,1,13,400,242019,1,511147,71661,43.37,23.14
19375996,4,1,5,400,202825,1,475756,65847,43.37,23.14
19379014,0,1,0,400,166562,1,301573,68576,43.31,23.17
19379015,1,1,8,400,196607,1,434355,63634,43.31,23.17
19379017,2,1,3,400,176546,1,471109,72588,43.31,23.17
19379018,3,1,7,400,241283,1,501211,72711,43.31,23.17
19379020,4,1,9,400,198614,1,476239,65336,43.31,23.17
19382036,0,1,1,400,166337,1,293417,68114,43.31,23.10
19382037,1,1,3,400,198077,1,443265,64370,43.31,23.10
19382039,2,1,10,400,176426,1,480448,71346,43.31,23.10
19382040,3,1,4,400,237074,1,509592,73280,43.31,23.10
19382042,4,1,18,400,199963,1,472546,63850,43.31,23.10
19385060,0,1,2,400,167240,1,300757,67860,43.33,23.16
19385061,1,1,9,400,199760,1,433327,63462,43.33,23.16
19385063,2,1,8,400,176426,1,471747,71612,43.33,23.16
19385064,3,1,0,400,239088,1,503762,74859,43.33,23.16
19385066,4,1,0,400,197474,1,469200,66948,43.33,23.16
19388082,0,1,2,400,166788,1,294911,67929,43.30,23.12
19388083,1,1,11,400,199017,1,437601,63119,43.30,23.12
19388085,2,1,1,400,178710,1,472546,72958,43.30,23.12
19388086,3,1,7,400,243498,1,501380,72785,43.30,23.12
19388088,4,1,7,400,194424,1,474630,65558,43.30,23.12
19391106,0,1,1,400,163435,1,292030,68044,43.28,23.13
19391107,1,1,7,400,197341,1,437453,63742,43.28,23.13
19391109,2,1,6,400,177084,1,472546,72050,43.28,23.13
19391110,3,1,13,400,237797,1,499179,71758,43.28,23.13
19391112,4,1,18,400,202620,1,463988,63958,43.28,23.13
19394128,0,1,6,400,165326,1,295210,67311,43.31,23.13
19394129,1,1,3,400,198748,1,439828,64392,43.31,23.13
19394131,2,1,3,400,172821,1,476884,72539,43.31,23.13
19394132,3,1,15,400,239655,1,519870,71491,43.31,23.13
19394134,4,1,10,400,198815,1,479311,65160,43.31,23.13
19397152,0,1,11,400,165943,1,296713,66496,43.33,23.08
19397153,1,1,17,400,200098,1,436565,62270,43.33,23.08
19397155,2,1,12,400,179255,1,475595,70961,43.33,23.08
19397156,3,1,10,400,243663,1,509247,72294,43.33,23.08
19397158,4,1,6,400,201048,1,482730,65735,43.33,23.08
19400174,0,1,9,400,167636,1,298324,66812,43.31,23.10
19400175,1,1,15,400,198614,1,438194,62651,43.31,23.10
19400177,2,1,0,400,177865,1,471588,74027,43.31,23.10
19400178,3,1,6,400,243581,1,499179,73057,43.31,23.10
19400180,4,1,14,400,199760,1,477369,64501,43.31,23.10
19403198,0,1,2,400,165943,1,292030,67929,43.33,23.09
19403199,1,1,7,400,199827,1,449307,63828,43.33,23.09
19403201,2,1,0,400,179498,1,472546,73230,43.33,23.09
19403202,3,1,4,400,240468,1,507870,73404,43.33,23.09
19403204,4,1,7,400,201185,1,472386,65558,43.33,23.09
19406222,0,1,6,400,168718,1,300452,67334,43.31,23.12
19406223,1,1,9,400,195943,1,446881,63526,43.31,23.12
19406225,2,1,12,400,175296,1,474469,70985,43.31,23.12
19406226,3,1,7,400,243004,1,504615,72785,43.31,23.12
19406228,4,1,10,400,195545,1,471907,65226,43.31,23.12
19409244,0,1,8,400,167693,1,295111,66880,43.32,23.13
19409245,1,1,15,400,196740,1,440275,62587,43.32,23.13
19409247,2,1,15,400,177264,1,471747,70411,43.32,23.13
19409248,3,1,14,400,239899,1,505127,71540,43.32,23.13
19409250,4,1,13,400,193177,1,471109,64632,43.32,23.13
19412268,0,1,6,400,164600,1,294313,67334,43.31,23.11
19412269,1,1,10,400,198077,1,441768,63312,43.31,23.11
19412271,2,1,16,400,177324,1,476239,70339,43.31,23.11
19412272,3,1,18,400,239250,1,502229,70889,43.31,23.11
19412274,4,1,3,400,205103,1,469200,66249,43.31,23.11
19415290,0,1,4,400,162442,1,290552,67608,43.38,23.07
19415291,1,1,7,400,200912,1,438787,63742,43.38,23.07
19415293,2,1,5,400,177324,1,479636,72172,43.38,23.07
19415294,3,1,8,400,239655,1,510628,72711,43.38,23.07
19415296,4,1,6,400,201048,1,471269,65713,43.38,23.07
19418314,0,1,0,400,166055,1,289570,68252,43.37,23.00
19418315,1,1,6,400,198547,1,438787,64001,43.37,23.00
19418317,2,1,0,400,176188,1,471269,73156,43.37,23.00
19418318,3,1,12,400,243993,1,500024,71977,43.37,23.00
19418320,4,1,7,400,200234,1,489310,65713,43.37,23.00
19421336,0,1,5,400,168262,1,293616,67494,43.38,23.03
19421337,1,1,2,400,199152,1,441021,64567,43.38,23.03
19421339,2,1,10,400,173642,1,476884,71370,43.38,23.03
19421340,3,1,14,400,243087,1,509937,71564,43.38,23.03
19421342,4,1,7,400,197474,1,469517,65646,43.38,23.03
19424360,0,1,0,400,169749,1,291241,68995,43.35,23.06
19424361,1,1,7,400,200912,1,429530,63742,43.35,23.06
19424363,2,1,13,400,174999,1,473347,70841,43.35,23.06
19424364,3,1,12,400,238523,1,505127,71904,43.35,23.06
19424366,4,1,8,400,198614,1,471747,65469,43.35,23.06
19427382,0,1,3,400,167750,1,295510,67723,43.34,23.08
19427383,1,1,0,400,199152,1,441319,65160,43.34,23.08
19427385,2,1,6,400,175474,1,465089,72050,43.34,23.08
19427386,3,1,12,400,238603,1,507355,71977,43.34,23.08
19427388,4,1,4,400,199827,1,471747,66092,43.34,23.08
19430406,0,1,0,400,169175,1,295210,69089,43.27,23.08
19430407,1,1,11,400,197474,1,436122,63226,43.27,23.08
19430409,2,1,6,400,177926,1,474791,72099,43.27,23.08
19430410,3,1,5,400,243004,1,488813,73106,43.27,23.08
19430412,4,1,12,400,200301,1,469835,64851,43.27,23.08
19433428,0,1,0,400,171423,1,291142,68229,43.25,23.09
19433429,1,1,9,400,197074,1,452818,63569,43.25,23.09
19433431,2,1,1,400,174290,1,470790,73007,43.25,23.09
19433432,3,1,14,400,243663,1,503932,71612,43.25,23.09
19433434,4,1,6,400,199692,1,480936,65869,43.25,23.09
19436452,0,1,11,400,167807,1,302800,66429,43.27,23.11
19436453,1,1,7,400,198144,1,442216,63828,43.27,23.11
19436455,2,1,14,400,175830,1,472386,70697,43.27,23.11
19436456,3,1,14,400,238119,1,503080,71540,43.27,23.11
19436458,4,1,13,400,200369,1,478987,64676,43.27,23.11
19439476,0,1,9,400,168262,1,297618,66857,43.31,23.11
19439477,1,1,7,400,197474,1,438787,63893,43.31,23.11
19439479,2,1,13,400,175236,1,466350,70841,43.31,23.11
19439480,3,1,11,400,238523,1,509592,72196,43.31,23.11
19439482,4,1,10,400,193570,1,476562,65160,43.31,23.11
19442500,0,1,4,400,167693,1,297417,67654,43.35,23.06
19442501,1,1,15,400,198010,1,438639,62672,43.35,23.06
19442503,2,1,0,400,172004,1,481588,73106,43.35,23.06
19442504,3,1,0,400,242183,1,506840,74859,43.35,23.06
19442506,4,1,0,400,199692,1,481751,67175,43.35,23.06
19445522,0,1,7,400,165047,1,295510,67152,43.34,23.04
19445523,1,1,4,400,200234,1,436122,64349,43.34,23.04
19445525,2,1,0,400,176785,1,468565,73255,43.34,23.04
19445526,3,1,15,400,239493,1,500024,71491,43.34,23.04
19445528,4,1,0,400,204341,1,469835,66812,43.34,23.04
19448546,0,1,0,400,168376,1,293517,68669,43.29,22.98
19448547,1,1,0,400,200641,1,430112,64983,43.29,22.98
19448549,2,1,11,400,172354,1,474148,71105,43.29,22.98
19448550,3,1,14,400,244158,1,502569,71685,43.29,22.98
19448552,4,1,13,400,193898,1,475112,64786,43.29,22.98
19451568,0,1,4,400,170440,1,291339,67631,43.28,23.02
19451569,1,1,13,400,197474,1,438936,62885,43.28,23.02
19451571,2,1,2,400,177444,1,471109,72711,43.28,23.02
19451572,3,1,1,400,242429,1,507526,74027,43.28,23.02
19451574,4,1,7,400,201730,1,469517,65646,43.28,23.02
19454592,0,1,9,400,171423,1,290060,66857,43.24,23.04
19454593,1,1,17,400,195678,1,435532,62376,43.24,23.04
19454595,2,1,3,400,175177,1,472706,72539,43.24,23.04
19454596,3,1,18,400,243993,1,510801,70985,43.24,23.04
19454598,4,1,2,400,199760,1,483712,66564,43.24,23.04
19457614,0,1,13,400,168319,1,298526,66115,43.30,23.08
19457615,1,1,2,400,200912,1,443115,64567,43.30,23.08
19457617,2,1,14,400,174467,1,477369,70697,43.30,23.08
19457618,3,1,10,400,239331,1,512532,72294,43.30,23.08
19457620,4,1,16,400,196674,1,471747,64196,43.30,23.08
19460638,0,1,12,400,167013,1,292822,66316,43.29,23.07
19460639,1,1,0,400,196076,1,434502,65336,43.29,23.07
19460641,2,1,4,400,176009,1,466666,72343,43.29,23.07
19460642,3,1,5,400,242347,1,503080,73255,43.29,23.07
19460644,4,1,8,400,198479,1,466034,65469,43.29,23.07
19463660,0,1,11,400,169979,1,294512,66474,43.32,23.06
19463661,1,1,3,400,200098,1,436565,64414,43.32,23.06
19463663,2,1,6,400,169979,1,464460,72001,43.32,23.06
19463664,3,1,9,400,244820,1,507870,72515,43.32,23.06
19463666,4,1,0,400,199557,1,470472,66812,43.32,23.06
19466684,0,1,9,400,166675,1,289766,66903,43.34,22.98
19466685,1,1,1,400,201594,1,439382,64786,43.34,22.98
19466687,2,1,0,400,177805,1,465246,73453,43.34,22.98
19466688,3,1,3,400,241692,1,495811,73528,43.34,22.98
19466690,4,1,12,400,199220,1,474309,64917,43.34,22.98
19469706,0,1,0,400,169864,1,302390,68298,43.35,22.98
19469707,1,1,12,400,201048,1,447789,63034,43.35,22.98
19469709,2,1,6,400,175474,1,473667,72001,43.35,22.98
19469710,3,1,15,400,240549,1,495979,71491,43.35,22.98
19469712,4,1,7,400,201048,1,475112,65646,43.35,22.98
19472730,0,1,4,400,165326,1,296613,67631,43.28,22.97
19472731,1,1,6,400,199220,1,431424,64023,43.28,22.97
19472733,2,1,9,400,178468,1,482077,71491,43.28,22.97
19472734,3,1,11,400,239007,1,513227,72172,43.28,22.97
19472736,4,1,1,400,201798,1,478177,66654,43.28,22.97
19475754,0,1,5,400,168490,1,299640,67517,43.30,22.99
19475755,1,1,0,400,200505,1,443866,65182,43.30,22.99
19475757,2,1,15,400,176307,1,469676,70458,43.30,22.99
19475758,3,1,6,400,241038,1,516363,72958,43.30,22.99
19475760,4,1,0,400,199017,1,477854,66903,43.30,22.99
19478776,0,1,4,400,171714,1,297115,67608,43.29,23.03
19478777,1,1,3,400,198614,1,433474,64545,43.29,23.03
19478779,2,1,9,400,175771,1,467614,71540,43.29,23.03
19478780,3,1,11,400,238281,1,507698,72221,43.29,23.03
19478782,4,1,18,400,200437,1,485187,64023,43.29,23.03
19481800,0,1,7,400,168604,1,290847,67152,43.28,23.02
19481801,1,1,10,400,200301,1,433914,63440,43.28,23.02
19481803,2,1,13,400,172412,1,468248,70889,43.28,23.02
19481804,3,1,5,400,239655,1,507698,73230,43.28,23.02
19481806,4,1,7,400,198883,1,474309,65624,43.28,23.02
19484822,0,1,5,400,170786,1,296713,67562,43.27,22.99
19484823,1,1,12,400,199085,1,425911,63098,43.27,22.99
19484825,2,1,20,400,174703,1,473347,69699,43.27,22.99
19484826,3,1,4,400,240224,1,499010,73379,43.27,22.99
19484828,4,1,6,400,200776,1,470790,65780,43.27,22.99
19487846,0,1,1,400,168604,1,292228,68160,43.32,23.00
19487847,1,1,12,400,196474,1,441618,63140,43.32,23.00
19487849,2,1,4,400,178408,1,473827,72417,43.32,23.00
19487850,3,1,5,400,245567,1,507355,73280,43.32,23.00
19487852,4,1,12,400,198748,1,473667,64961,43.32,23.00
19490868,0,1,13,400,169691,1,300859,66249,43.35,22.96
19490869,1,1,3,400,198211,1,431132,64545,43.35,22.96
19490871,2,1,11,400,176128,1,468248,71298,43.35,22.96
19490872,3,1,8,400,244158,1,499010,72785,43.35,22.96
19490874,4,1,6,400,201594,1,475756,65847,43.35,22.96
19493892,0,1,8,400,169921,1,294113,67061,43.35,22.92
19493893,1,1,13,400,198748,1,438194,62885,43.35,22.92
19493895,2,1,3,400,178046,1,472386,72613,43.35,22.92
19493896,3,1,7,400,241283,1,512186,72908,43.35,22.92
19493898,4,1,7,400,202483,1,481262,65624,43.35,22.92
19496914,0,1,6,400,166900,1,294811,67425,43.39,22.87
19496915,1,1,7,400,197608,1,436270,63893,43.39,22.87
19496917,2,1,0,400,170555,1,480774,73453,43.39,22.87
19496918,3,1,8,400,242019,1,511666,72711,43.39,22.87
19496920,4,1,6,400,202003,1,479636,65869,43.39,22.87
19499938,0,1,10,400,166900,1,295710,66744,43.36,22.86
19499939,1,1,5,400,198614,1,439977,64131,43.36,22.86
19499941,2,1,3,400,174585,1,474791,72687,43.36,22.86
19499942,3,1,0,400,243169,1,511839,75265,43.36,22.86
19499944,4,1,0,400,197809,1,486997,67654,43.36,22.86
19502960,0,1,10,400,162883,1,301471,66654,43.45,22.92
19502961,1,1,0,400,198950,1,443565,66160,43.45,22.92
19502963,2,1,1,400,176665,1,479636,72933,43.45,22.92
19502964,3,1,2,400,240061,1,512879,73802,43.45,22.92
19502966,4,1,12,400,201389,1,477692,64983,43.45,22.92
19505984,0,1,5,400,168148,1,301063,67517,43.49,22.86
19505985,1,1,11,400,198614,1,441768,63205,43.49,22.86
19505987,2,1,8,400,175652,1,472706,71685,43.49,22.86
19505988,3,1,6,400,241365,1,512532,73032,43.49,22.86
19505990,4,1,8,400,197274,1,477046,65536,43.49,22.86
19509006,0,1,9,400,163158,1,299437,66903,43.44,22.81
19509007,1,1,19,400,202277,1,438936,62144,43.44,22.81
19509009,2,1,2,400,176426,1,470313,72834,43.44,22.81
19509010,3,1,13,400,245484,1,510628,71782,43.44,22.81
19509012,4,1,12,400,197943,1,484695,64873,43.44,22.81
19512030,0,1,11,400,168205,1,294113,66609,43.48,22.80
19512031,1,1,1,400,197074,1,439977,64851,43.48,22.80
19512033,2,1,6,400,174467,1,467931,72074,43.48,22.80
19512034,3,1,11,400,241610,1,511839,72245,43.48,22.80
19512036,4,1,3,400,202209,1,476884,66406,43.48,22.80
19515052,0,1,5,400,165382,1,294612,67448,43.46,22.84
19515053,1,1,0,400,195149,1,438936,65182,43.46,22.84
19515055,2,1,3,400,174408,1,472386,72687,43.46,22.84
19515056,3,1,7,400,246066,1,512532,72933,43.46,22.84
19515058,4,1,0,400,202209,1,473186,66812,43.46,22.84
19518076,0,1,5,400,173525,1,292228,67448,43.37,22.84
19518077,1,1,11,400,200505,1,451594,63290,43.37,22.84
19518079,2,1,8,400,172063,1,476562,71685,43.37,22.84
19518080,3,1,12,400,244903,1,510974,72074,43.37,22.84
19518082,4,1,6,400,203651,1,474469,65958,43.37,22.84
19521098,0,1,3,400,168490,1,290748,67814,43.35,22.87
19521099,1,1,13,400,199625,1,434649,62991,43.35,22.87
19521101,2,1,3,400,173290,1,479311,72613,43.35,22.87
19521102,3,1,6,400,238927,1,511839,73007,43.35,22.87
19521104,4,1,4,400,200301,1,480774,66249,43.35,22.87
19524122,0,1,10,400,168148,1,297115,66654,43.39,22.80
19524123,1,1,8,400,200369,1,439679,63763,43.39,22.80
19524125,2,1,0,400,176905,1,470950,73404,43.39,22.80
19524126,3,1,0,400,240143,1,510628,74354,43.39,22.80
19524128,4,1,1,400,198077,1,480448,66677,43.39,22.80
19527144,0,1,8,400,168034,1,293020,66993,43.41,22.84
19527145,1,1,10,400,198278,1,442965,63440,43.41,22.84
19527147,2,1,16,400,173819,1,477692,70387,43.41,22.84
19527148,3,1,6,400,243333,1,509592,73032,43.41,22.84
19527150,4,1,5,400,201048,1,472386,66092,43.41,22.84
19530168,0,1,4,400,171307,1,291635,67746,43.42,22.89
19530169,1,1,12,400,200776,1,444016,63119,43.42,22.89
19530171,2,1,13,400,177926,1,472866,70985,43.42,22.89
19530172,3,1,8,400,242019,1,503080,72810,43.42,22.89
19530174,4,1,3,400,200980,1,475595,66339,43.42,22.89
19533190,0,1,9,400,167636,1,294113,66857,43.47,22.85
19533191,1,1,4,400,199557,1,440275,64327,43.47,22.85
19533193,2,1,6,400,175830,1,481425,72196,43.47,22.85
19533194,3,1,13,400,240387,1,505812,71855,43.47,22.85
19533196,4,1,12,400,202140,1,476239,64983,43.47,22.85
19536214,0,1,0,400,164322,1,299944,69817,43.46,22.81
19536215,1,1,11,400,199827,1,439977,63247,43.46,22.81
19536217,2,1,20,400,174290,1,475756,69747,43.46,22.81
19536218,3,1,9,400,241202,1,503762,72613,43.46,22.81
19536220,4,1,10,400,199422,1,475917,65314,43.46,22.81
19539236,0,1,0,400,164545,1,292030,69581,43.47,22.84
19539237,1,1,6,400,200369,1,443716,64066,43.47,22.84
19539239,2,1,15,400,175296,1,475917,70530,43.47,22.84
19539240,3,1,12,400,238927,1,505812,72001,43.47,22.84
19539242,4,1,11,400,198950,1,477692,65115,43.47,22.84
19542260,0,1,12,400,164489,1,292624,66339,43.47,22.86
19542261,1,1,12,400,198412,1,441021,63076,43.47,22.86
19542263,2,1,11,400,174881,1,481588,71346,43.47,22.86
19542264,3,1,5,400,245983,1,517062,73205,43.47,22.86
19542266,4,1,8,400,198412,1,482894,65580,43.47,22.86
19545284,0,1,12,400,166224,1,293318,66496,43.55,22.84
19545285,1,1,6,400,197207,1,437009,64066,43.55,22.84
19545287,2,1,22,400,176965,1,475273,69534,43.55,22.84
19545288,3,1,10,400,241856,1,509247,72368,43.55,22.84
19545290,4,1,7,400,200709,1,482077,65802,43.55,22.84
19548306,0,1,10,400,166900,1,295210,66722,43.48,22.80
19548307,1,1,2,400,201594,1,438194,64698,43.48,22.80
19548309,2,1,16,400,174054,1,477530,70458,43.48,22.80
19548310,3,1,0,400,244076,1,503591,74530,43.48,22.80
19548312,4,1,12,400,199557,1,477046,64917,43.48,22.80
19551330,0,1,15,400,170671,1,297921,65936,43.53,22.77
19551331,1,1,8,400,198950,1,438194,63828,43.53,22.77
19551333,2,1,0,400,174703,1,477207,73927,43.53,22.77
19551334,3,1,8,400,244076,1,504273,72711,43.53,22.77
19551336,4,1,14,400,202414,1,484039,64676,43.53,22.77
19554352,0,1,4,400,168490,1,300350,67654,43.63,22.75
19554353,1,1,12,400,197474,1,439084,63076,43.63,22.75
19554355,2,1,14,400,172063,1,475917,70817,43.63,22.75
19554356,3,1,3,400,244655,1,517062,73603,43.63,22.75
19554358,4,1,10,400,202140,1,477369,65336,43.63,22.75
19557376,0,1,13,400,165718,1,299538,66294,43.60,22.71
19557377,1,1,7,400,197742,1,438936,63936,43.60,22.71
19557379,2,1,33,421,174762,1,485516,67814,43.60,22.71
19557380,3,1,8,400,244655,1,517413,72834,43.60,22.71
19557382,4,1,11,400,202140,1,475917,65093,43.60,22.71
19560398,0,1,6,400,166449,1,297216,67357,43.60,22.68
19560399,1,1,6,400,200709,1,450678,64131,43.60,22.68
19560401,2,1,8,400,172880,1,480774,71709,43.60,22.68
19560402,3,1,14,400,245318,1,516188,71661,43.60,22.68
19560404,4,1,6,400,200709,1,479961,65936,43.60,22.68
19563422,0,1,11,400,167750,1,294412,66654,43.57,22.71
19563423,1,1,17,400,197809,1,438936,62481,43.57,22.71
19563425,2,1,11,400,176785,1,474951,71274,43.57,22.71
19563426,3,1,11,400,245069,1,511666,72245,43.57,22.71
19563428,4,1,8,400,204341,1,470790,65558,43.57,22.71
19566444,0,1,11,400,166168,1,292426,66609,43.62,22.73
19566445,1,1,9,400,200301,1,439828,63634,43.62,22.73
19566447,2,1,11,400,175890,1,480286,71346,43.62,22.73
19566448,3,1,2,400,246734,1,523047,73777,43.62,22.73
19566450,4,1,4,400,199557,1,486174,66294,43.62,22.73
19569468,0,1,3,400,167127,1,295510,67837,43.59,22.69
19569469,1,1,15,400,201321,1,445220,62672,43.59,22.69
19569471,2,1,0,400,176486,1,473667,74530,43.59,22.69
19569472,3,1,13,400,243828,1,514444,71904,43.59,22.69
19569474,4,1,1,400,202757,1,482894,66722,43.59,22.69
19572490,0,1,7,400,164768,1,296111,67243,43.61,22.69
19572491,1,1,3,400,198547,1,438194,64632,43.61,22.69
19572493,2,1,27,409,174881,1,479149,68646,43.61,22.69
19572494,3,1,3,400,243911,1,508558,73628,43.61,22.69
19572496,4,1,4,400,202757,1,483057,66294,43.61,22.69
19575514,0,1,1,400,166844,1,291635,68229,43.59,22.63
19575515,1,1,7,400,199287,1,448547,63979,43.59,22.63
19575517,2,1,3,400,175830,1,480448,72711,43.59,22.63
19575518,3,1,13,400,246233,1,517763,71904,43.59,22.63
19575520,4,1,11,400,198278,1,479311,65160,43.59,22.63
19578536,0,1,11,400,166280,1,296613,66654,43.61,22.70
19578537,1,1,9,400,197341,1,442067,63655,43.61,22.70
19578539,2,1,11,400,174054,1,474469,71274,43.61,22.70
19578540,3,1,6,400,241774,1,515490,73156,43.61,22.70
19578542,4,1,4,400,199287,1,485516,66316,43.61,22.70
19581560,0,1,5,400,162938,1,293914,67631,43.56,22.66
19581561,1,1,12,400,197742,1,444166,63098,43.56,22.66
19581563,2,1,7,400,177204,1,482404,71977,43.56,22.66
19581564,3,1,19,400,248662,1,516363,70889,43.56,22.66
19581566,4,1,8,400,202688,1,478987,65536,43.56,22.66
19584582,0,1,10,400,167013,1,296412,66789,43.61,22.68
19584583,1,1,12,400,196474,1,436861,63205,43.61,22.68
19584585,2,1,6,400,172646,1,470153,72172,43.61,22.68
19584586,3,1,8,400,246734,1,502740,72736,43.61,22.68
19584588,4,1,5,400,196541,1,481588,66070,43.61,22.68
19587606,0,1,2,400,165382,1,295111,68160,43.51,22.66
19587607,1,1,3,400,199085,1,439382,64523,43.51,22.66
19587609,2,1,1,400,175949,1,476562,73131,43.51,22.66
19587610,3,1,8,400,239412,1,511147,72810,43.51,22.66
19587612,4,1,6,400,202140,1,483221,65958,43.51,22.66
19590628,0,1,7,400,166337,1,294911,67334,43.48,22.69
19590629,1,1,8,400,197608,1,440573,63742,43.48,22.69
19590631,2,1,0,400,174703,1,467140,73379,43.48,22.69
19590632,3,1,4,400,243333,1,516713,73478,43.48,22.69
19590634,4,1,0,400,203375,1,482077,67403,43.48,22.69
19593661,0,1,0,400,167750,1,287422,68576,43.48,22.75
19593664,1,1,0,400,198614,1,437453,66204,43.48,22.75
19593665,2,1,6,400,175355,1,473988,72245,43.48,22.75
19593667,3,1,1,400,243828,1,502740,74153,43.48,22.75
19593668,4,1,10,400,201389,1,485845,65314,43.48,22.75
19596684,0,1,8,400,167807,1,293616,67152,43.49,22.72
19596685,1,1,13,400,201867,1,434208,63012,43.49,22.72
19596687,2,1,0,400,176905,1,475112,73329,43.49,22.72
19596688,3,1,3,400,242840,1,504444,73603,43.49,22.72
19596690,4,1,3,400,202346,1,480448,66406,43.49,22.72
19599708,0,1,4,400,169462,1,298425,67746,43.48,22.64
19599709,1,1,6,400,201389,1,438342,64044,43.48,22.64
19599711,2,1,16,400,174703,1,477369,70458,43.48,22.64
19599712,3,1,7,400,242265,1,513574,73032,43.48,22.64
19599714,4,1,2,400,202346,1,478339,66541,43.48,22.64
19602730,0,1,9,400,165718,1,294811,66903,43.53,22.60
19602731,1,1,9,400,198479,1,440424,63677,43.53,22.60
19602733,2,1,2,400,176665,1,476884,72834,43.53,22.60
19602734,3,1,2,400,243498,1,513053,73902,43.53,22.60
19602736,4,1,7,400,203375,1,486667,65802,43.53,22.60
19605754,0,1,2,400,165718,1,288396,68160,43.48,22.66
19605755,1,1,5,400,198345,1,435975,64262,43.48,22.66
19605757,2,1,8,400,178106,1,471109,71806,43.48,22.66
19605758,3,1,4,400,244076,1,504103,73453,43.48,22.66
19605760,4,1,7,400,201185,1,479636,65802,43.48,22.66
19608776,0,1,2,400,163989,1,291734,68067,43.57,22.68
19608777,1,1,8,400,198748,1,442366,63742,43.57,22.68
19608779,2,1,11,400,176068,1,476562,71394,43.57,22.68
19608780,3,1,8,400,246984,1,507698,72810,43.57,22.68
19608782,4,1,20,400,204757,1,485680,63763,43.57,22.68
19611800,0,1,15,400,164879,1,294014,66025,43.59,22.68
19611801,1,1,5,400,200369,1,435090,64240,43.59,22.68
19611803,2,1,10,400,176307,1,475112,71540,43.59,22.68
19611804,3,1,3,400,245983,1,513574,73653,43.59,22.68
19611806,4,1,5,400,204065,1,482240,66160,43.59,22.68
19614822,0,1,16,400,167240,1,296512,65847,43.57,22.62
19614823,1,1,4,400,194489,1,441170,64458,43.57,22.62
19614825,2,1,14,400,174231,1,478825,70817,43.57,22.62
19614826,3,1,11,400,248073,1,519342,72245,43.57,22.62
19614828,4,1,2,400,207899,1,481751,66654,43.57,22.62
19617846,0,1,6,400,168376,1,296211,67517,43.56,22.63
19617847,1,1,8,400,194226,1,436861,63806,43.56,22.63
19617849,2,1,5,400,178227,1,473667,72343,43.56,22.63
19617850,3,1,11,400,245318,1,506668,72221,43.56,22.63
19617852,4,1,1,400,202483,1,491135,66812,43.56,22.63
19620870,0,1,10,400,165943,1,294113,66789,43.51,22.67
19620871,1,1,2,400,198815,1,446125,64698,43.51,22.67
19620873,2,1,16,400,172821,1,470950,70506,43.51,22.67
19620874,3,1,6,400,246066,1,521986,73255,43.51,22.67
19620876,4,1,1,400,198883,1,475273,66857,43.51,22.67
19623892,0,1,7,400,163324,1,294412,67311,43.46,22.66
19623893,1,1,11,400,197140,1,444317,63312,43.46,22.66
19623895,2,1,4,400,176426,1,474469,72515,43.46,22.66
19623896,3,1,1,400,245069,1,517938,74128,43.46,22.66
19623898,4,1,0,400,204965,1,478339,67152,43.46,22.66
19626916,0,1,9,400,167750,1,293020,67016,43.39,22.68
19626917,1,1,10,400,200234,1,447637,63526,43.39,22.68
19626919,2,1,12,400,177264,1,477854,71226,43.39,22.68
19626920,3,1,2,400,245567,1,509764,73977,43.39,22.68
19626922,4,1,11,400,198211,1,491634,65160,43.39,22.68
19629938,0,1,1,400,166844,1,296011,68252,43.40,22.72
19629939,1,1,7,400,198278,1,436122,63979,43.40,22.72
19629941,2,1,12,400,174349,1,471428,71177,43.40,22.72
19629942,3,1,16,400,243746,1,513574,71419,43.40,22.72
19629944,4,1,8,400,203444,1,478339,65624,43.40,22.72
19632962,0,1,0,400,167920,1,294512,68530,43.39,22.68
19632963,1,1,15,400,197608,1,431424,62715,43.39,22.68
19632965,2,1,7,400,174290,1,472227,71977,43.39,22.68
19632966,3,1,18,400,247989,1,510974,71153,43.39,22.68
19632968,4,1,8,400,200980,1,482077,65624,43.39,22.68
19635984,0,1,7,400,170671,1,295210,67357,43.35,22.73
19635985,1,1,5,400,198748,1,435532,64218,43.35,22.73
19635987,2,1,4,400,173819,1,478663,72490,43.35,22.73
19635988,3,1,10,400,243251,1,516363,72417,43.35,22.73
19635990,4,1,5,400,204410,1,486174,66204,43.35,22.73
19639008,0,1,6,400,169864,1,299640,67403,43.39,22.77
19639009,1,1,17,400,198010,1,441170,62481,43.39,22.77
19639011,2,1,12,400,177204,1,473827,71153,43.39,22.77
19639012,3,1,9,400,243087,1,512706,72711,43.39,22.77
