Time(ms),Sensor,AQI,TVOC,ECO2,Rs0,Rs1,Rs2,Rs3,Temp(C),Humidity(%)
61721,1,3,577,889,79642,1,55108,31389,28.68,49.62
61723,2,3,626,903,68321,1,57083,34755,28.68,49.62
61724,3,3,400,835,88932,1,67562,39033,28.68,49.62
61726,4,3,455,852,70602,1,60484,34103,28.68,49.62
64744,0,3,428,844,81029,1,55426,34755,28.81,49.29
64745,1,3,538,878,79669,1,56182,32131,28.81,49.29
64747,2,3,584,891,68646,1,58313,35588,28.81,49.29
64748,3,3,409,838,88213,1,67700,38770,28.81,49.29
64750,4,3,478,859,70817,1,62334,33576,28.81,49.29
67766,0,3,386,830,83365,1,56315,35879,28.95,48.95
67767,1,3,459,854,81772,1,59128,33815,28.95,48.95
67769,2,3,551,882,71298,1,59368,36269,28.95,48.95
67770,3,3,374,826,92056,1,69983,39834,28.95,48.95
67772,4,3,460,854,72515,1,62970,33987,28.95,48.95
70790,0,3,343,816,82803,1,58669,37152,29.07,48.67
70791,1,3,471,857,83648,1,59711,33542,29.07,48.67
70793,2,3,562,885,71009,1,61081,36037,29.07,48.67
70794,3,3,372,825,93248,1,72074,39902,29.07,48.67
70796,4,3,419,841,73131,1,65226,34991,29.07,48.67
73812,0,3,340,815,84645,1,57939,37265,29.20,48.37
73813,1,3,438,847,84645,1,59469,34323,29.20,48.37
73815,2,3,528,875,72834,1,62821,36801,29.20,48.37
73816,3,3,358,821,94263,1,74404,40363,29.20,48.37
73818,4,3,411,838,72933,1,65735,35205,29.20,48.37
76836,0,3,297,800,84645,1,60341,38705,29.33,48.06
76837,1,3,428,844,83818,1,60833,34567,29.33,48.06
76839,2,3,506,868,72245,1,62821,37315,29.33,48.06
76840,3,3,339,814,95000,1,74530,41011,29.33,48.06
76842,4,3,398,834,74379,1,68391,35540,29.33,48.06
79858,0,3,315,806,85944,1,61184,38068,29.46,47.77
79859,1,3,422,842,85018,1,62165,34720,29.46,47.77
79861,2,3,449,850,74910,1,63397,38757,29.46,47.77
79862,3,3,321,808,99206,1,75240,41640,29.46,47.77
79864,4,3,375,827,76783,1,68669,36184,29.46,47.77
82882,0,3,276,780,88392,1,62165,39485,29.60,47.47
82883,1,3,418,840,84673,1,62608,34826,29.60,47.47
82885,2,3,452,851,76214,1,65137,38678,29.60,47.47
82886,3,3,326,810,96588,1,76861,41457,29.60,47.47
82888,4,3,352,819,77044,1,70220,36863,29.60,47.47
85904,0,3,320,808,87263,1,63034,37926,29.74,47.19
85905,1,3,396,833,87056,1,64501,35408,29.74,47.19
85907,2,3,460,854,75393,1,66609,38482,29.74,47.19
85908,3,3,304,802,101070,1,77804,42293,29.74,47.19
85910,4,3,338,814,78412,1,72099,37328,29.74,47.19
88928,0,3,297,800,89931,1,64305,38718,29.86,46.85
88929,1,3,352,819,89053,1,66003,36664,29.86,46.85
88931,2,3,433,845,75393,1,68391,39206,29.86,46.85
88932,3,3,269,772,101070,1,78651,43720,29.86,46.85
88934,4,3,351,819,77514,1,72343,36901,29.86,46.85
91950,0,3,283,787,89840,1,64458,39219,29.99,46.50
91951,1,3,344,816,88963,1,66789,36913,29.99,46.50
91953,2,3,427,843,78731,1,68809,39378,29.99,46.50
91954,3,3,263,766,101241,1,79777,43972,29.99,46.50
91956,4,3,313,805,79346,1,73453,38158,29.99,46.50
94974,0,3,250,751,91994,1,65580,40541,30.12,46.27
94975,1,3,356,820,88632,1,68044,36553,30.12,46.27
94977,2,3,384,829,77253,1,71661,40679,30.12,46.27
94978,3,3,262,765,101722,1,81413,44002,30.12,46.27
94980,4,3,313,805,79912,1,74910,38158,30.12,46.27
97996,0,3,257,759,90481,1,66249,40254,30.28,46.02
97997,1,3,339,814,89870,1,67517,37076,30.28,46.02
97999,2,3,381,828,78944,1,69135,40775,30.28,46.02
98000,3,3,243,744,102795,1,82439,44874,30.28,46.02
98002,4,3,295,799,80509,1,76420,38783,30.28,46.02
101020,0,3,229,728,92306,1,66677,41429,30.40,45.70
101021,1,3,314,806,90573,1,68344,37914,30.40,45.70
101023,2,3,375,827,79561,1,72050,40969,30.40,45.70
101024,3,3,249,751,102795,1,83337,44602,30.40,45.70
101026,4,3,282,786,80892,1,76395,39245,30.40,45.70
104042,0,3,274,777,92681,1,68391,39565,30.53,45.48
104043,1,3,299,801,92587,1,69912,38430,30.53,45.48
104045,2,3,350,818,80455,1,74002,41824,30.53,45.48
104046,3,3,248,749,104549,1,84245,44677,30.53,45.48
104048,4,3,303,802,81001,1,78253,38496,30.53,45.48
107066,0,3,221,719,96588,1,68739,41810,30.68,45.21
107067,1,3,308,804,92933,1,70889,38094,30.68,45.21
